Year,FullTeam,ID,Payroll
2016,New York Mets,19,130612115
2016,New York Yankees,20,227854349
2016,Oakland Athletics,21,85823390
2016,Philadelphia Phillies,22,103346668
2016,Pittsburgh Pirates,23,99960499
2016,San Diego Padres,24,100547000
2016,San Francisco Giants,25,171464943
2016,Seattle Mariners,26,144996858
2016,St. Louis Cardinals,27,149186000
2016,Tampa Bay Rays,28,64120323
2016,Texas Rangers,29,161246720
2016,Toronto Blue Jays,30,140582027
2016,Washington Nationals,32,146686385
2016,Miami Marlins,34,70464500
2016,Los Angeles Angels,36,166831190
2015,Arizona Diamondbacks,2,65770333
2015,Atlanta Braves,3,89622648
2015,Baltimore Orioles,4,118862632
2015,Boston Red Sox,5,168691914
2015,Chicago Cubs,6,117164522
2015,Chicago White Sox,7,110712866
2015,Cincinnati Reds,8,117732284
2015,Cleveland Indians,35,87746766
2015,Colorado Rockies,10,98261171
2015,Detroit Tigers,11,172792250
2015,Houston Astros,13,69064200
2015,Kansas City Royals,14,112914525
2015,Los Angeles Dodgers,15,230352402
2015,Milwaukee Brewers,16,98683035
2015,Minnesota Twins,17,108262000
2015,New York Mets,19,100133953
2015,New York Yankees,20,213472857
2015,Oakland Athletics,21,80786666
2015,Philadelphia Phillies,22,133048000
2015,Pittsburgh Pirates,23,85885832
2015,San Diego Padres,24,126619628
2015,San Francisco Giants,25,166495942
2015,Seattle Mariners,26,123225842
2015,St. Louis Cardinals,27,120301957
2015,Tampa Bay Rays,28,74849584
2015,Texas Rangers,29,144816873
2015,Toronto Blue Jays,30,116415800
2015,Washington Nationals,32,174510977
2015,Miami Marlins,34,84637500
2015,Los Angeles Angels,36,146449583
2014,Arizona Diamondbacks,2,112688666
2014,Atlanta Braves,3,110897341
2014,Baltimore Orioles,4,107406623
2014,Boston Red Sox,5,162817411
2014,Chicago Cubs,6,89007857
2014,Chicago White Sox,7,91159254
2014,Cincinnati Reds,8,112390772
2014,Cleveland Indians,35,82534800
2014,Colorado Rockies,10,95832071
2014,Detroit Tigers,11,162228527
2014,Houston Astros,13,44544174
2014,Kansas City Royals,14,92034345
2014,Los Angeles Dodgers,15,235295219
2014,Milwaukee Brewers,16,103844806
2014,Minnesota Twins,17,85776500
2014,New York Mets,19,89051758
